NodeA,NodeB,Weights
0,8163,1.0
0,10615,1.0
0,2583,1.0
0,1912,1.0
0,9847,1.0
0,1834,1.0
0,2673,1.0
0,5473,1.0
0,8298,1.0
0,7027,1.0
1,3293,1.0
1,2187,1.0
1,11164,1.0
1,5034,1.0
1,10502,1.0
1,9464,1.0
1,9795,1.0
1,1625,1.0
1,10542,1.0
1,10957,0.0
2,608,1.0
2,7336,1.0
2,4966,1.0
2,7443,1.0
2,6325,1.0
2,5437,1.0
2,2145,1.0
2,5553,1.0
2,322,1.0
2,315,0.0
3,7812,1.0
3,10727,1.0
3,735,1.0
3,7862,1.0
3,1170,1.0
3,6652,1.0
3,453,1.0
3,843,1.0
3,4793,0.0
3,204,0.0
4,9883,1.0
4,6664,1.0
4,5352,1.0
4,5246,1.0
4,589,1.0
4,1221,1.0
4,3076,1.0
4,315,0.0
4,7353,0.0
4,8123,0.0
5,6864,1.0
5,1811,1.0
5,4403,1.0
5,4735,1.0
5,2885,1.0
5,5208,1.0
5,4179,1.0
5,3604,1.0
5,5732,1.0
5,4848,0.0
6,4879,1.0
6,5230,1.0
6,7149,1.0
6,5606,1.0
6,8931,1.0
6,1275,1.0
6,5105,1.0
6,3298,1.0
6,10486,0.0
6,5158,0.0
7,8622,1.0
7,3037,1.0
7,1320,1.0
7,9368,1.0
7,8409,1.0
7,444,1.0
7,4640,1.0
7,3181,1.0
7,4909,0.0
7,3648,0.0
8,8154,1.0
8,9688,1.0
8,7228,1.0
8,8887,1.0
8,5586,1.0
8,8363,1.0
8,975,1.0
8,1304,1.0
8,3220,1.0
8,3472,0.0
9,6428,1.0
9,10500,1.0
9,1601,1.0
9,2398,1.0
9,9647,1.0
9,5043,1.0
9,1680,1.0
9,8711,1.0
9,4064,0.0
9,625,0.0
10,9920,1.0
10,984,1.0
10,6950,1.0
10,10585,1.0
10,805,1.0
10,8576,1.0
10,3806,1.0
10,6358,1.0
10,2596,0.0
10,5509,0.0
11,2863,1.0
11,4838,1.0
11,814,1.0
11,9395,1.0
11,4757,1.0
11,3323,1.0
11,10931,1.0
11,2676,1.0
11,10764,0.0
11,5483,0.0
12,9440,1.0
12,4177,1.0
12,2700,1.0
12,5836,1.0
12,5016,1.0
12,4694,1.0
12,7972,1.0
12,6018,1.0
12,9737,0.0
12,6040,0.0
13,3921,1.0
13,2201,1.0
13,5319,1.0
13,1936,1.0
13,5061,1.0
13,2276,1.0
13,229,1.0
13,1360,1.0
13,10090,0.0
13,5057,0.0
14,10864,1.0
14,9127,1.0
14,8460,1.0
14,2962,1.0
14,1516,1.0
14,5181,1.0
14,1307,1.0
14,1358,1.0
14,5685,1.0
14,4672,1.0
15,2777,1.0
15,10370,1.0
15,5251,1.0
15,11059,1.0
15,8863,1.0
15,5733,1.0
15,10522,1.0
15,10514,1.0
15,4618,0.0
15,5690,0.0
16,2533,1.0
16,1129,1.0
16,2874,1.0
16,714,1.0
16,8094,1.0
16,4153,1.0
16,11033,1.0
16,5171,1.0
16,11107,1.0
16,5299,0.0
17,3719,1.0
