NodeA,NodeB,Weights
0,3887,1.0
0,852,1.0
0,4023,1.0
0,453,1.0
0,188,1.0
0,9804,1.0
0,267,1.0
0,620,1.0
0,10071,1.0
0,9257,0.0
1,1393,1.0
1,10761,1.0
1,11745,1.0
1,718,1.0
1,1015,1.0
1,666,1.0
1,637,1.0
1,12356,1.0
1,880,0.0
1,610,0.0
2,866,1.0
2,342,1.0
2,12918,1.0
2,10546,1.0
2,580,1.0
2,227,1.0
2,90,1.0
2,12279,1.0
2,965,0.0
2,10642,0.0
3,5768,1.0
3,3667,1.0
3,5654,1.0
3,4529,1.0
3,6007,1.0
3,4751,1.0
3,10041,1.0
3,10002,1.0
3,177,0.0
3,4267,0.0
4,6,1.0
4,912,1.0
4,141,1.0
4,569,1.0
4,349,1.0
4,9714,1.0
4,914,1.0
4,427,1.0
4,240,1.0
4,987,0.0
5,11894,1.0
5,12625,1.0
5,9181,1.0
5,11227,1.0
5,10369,1.0
5,10600,1.0
5,12913,1.0
5,12336,1.0
5,12525,1.0
5,12866,1.0
6,141,1.0
6,4,1.0
6,240,1.0
6,17,1.0
6,386,1.0
6,9714,1.0
6,349,1.0
6,688,1.0
6,918,1.0
6,914,1.0
7,146,1.0
7,239,1.0
7,850,1.0
7,10125,1.0
7,253,1.0
7,13209,1.0
7,522,1.0
7,9879,1.0
7,983,0.0
7,839,0.0
8,1453,1.0
8,530,1.0
8,1257,1.0
8,3116,1.0
8,1364,1.0
8,2412,1.0
8,593,1.0
8,1928,1.0
8,1675,0.0
8,3248,0.0
9,13209,1.0
9,63,1.0
9,9139,1.0
9,10125,1.0
9,283,1.0
9,850,1.0
9,1021,1.0
9,9879,1.0
9,9989,0.0
9,239,0.0
10,254,1.0
10,391,1.0
10,10140,1.0
10,807,1.0
10,9678,1.0
10,9489,1.0
10,9519,1.0
10,9170,1.0
10,9654,0.0
10,373,0.0
11,659,1.0
11,9565,1.0
11,2990,1.0
11,9603,1.0
11,10057,1.0
11,1034,1.0
11,4082,1.0
11,803,1.0
11,5674,0.0
11,3680,0.0
12,12718,1.0
12,12312,1.0
12,11367,1.0
12,12283,1.0
12,10921,1.0
12,513,1.0
12,10716,1.0
12,374,0.0
12,12063,0.0
12,11631,0.0
13,507,1.0
